Daily rainfall(in mm) trends for Nalanda from 24-Jul-2018 to 15-Aug-2024

Dates,NORMAL (mm) ,ACTUAL (mm) 
"24-Jul-2018",7.8,11.9
"25-Jul-2018",10.6,18.08
"26-Jul-2018",8.5,39.25
"27-Jul-2018",7.9,22.1
"28-Jul-2018",7.7,32.27
"29-Jul-2018",17.5,75.92
"30-Jul-2018",11.2,13.15
"31-Jul-2018",5.8,8.68
"01-Aug-2018",8.4,3.37
"02-Aug-2018",8.5,3.94
"03-Aug-2018",8,4.03
"04-Aug-2018",11,1.46
"05-Aug-2018",9.5,22.12
"06-Aug-2018",8.6,31.75
"07-Aug-2018",8.6,3.75
"08-Aug-2018",7.5,3.54
"09-Aug-2018",7.3,2.28
"10-Aug-2018",11.2,0.02
"11-Aug-2018",4.9,1.09
"12-Aug-2018",11.5,7.93
"13-Aug-2018",7.2,1.32
"14-Aug-2018",10,11.26
"15-Aug-2018",8.2,2.29
"16-Aug-2018",8.1,4.5
"17-Aug-2018",8.1,3.73
"18-Aug-2018",10.1,0
"19-Aug-2018",8.2,4.82
"20-Aug-2018",5.7,1.58
"21-Aug-2018",8.9,7.36
"22-Aug-2018",10.5,2.41
"23-Aug-2018",11.8,16.93
"24-Aug-2018",8.2,3.05
"25-Aug-2018",7.2,30.84
"26-Aug-2018",9.8,2.4
"27-Aug-2018",8.5,8.69
"28-Aug-2018",7.7,2.43
"29-Aug-2018",5.7,0.11
"30-Aug-2018",8.2,4.07
"31-Aug-2018",6.8,9.2
"01-Sep-2018",7.1,8.85
"02-Sep-2018",5.5,19.04
"03-Sep-2018",4.4,3.31
"04-Sep-2018",7.1,25.82
"05-Sep-2018",7.6,5.51
"06-Sep-2018",4.9,0.05
"07-Sep-2018",4.8,1.76
"08-Sep-2018",8,1.81
"09-Sep-2018",8.3,0
"10-Sep-2018",9,4.19
"11-Sep-2018",10.8,1.3
"12-Sep-2018",10.1,0.74
"13-Sep-2018",9.3,2.89
"14-Sep-2018",7.1,1.27
"15-Sep-2018",7.6,1.7
"16-Sep-2018",6.9,0
"17-Sep-2018",9.8,0
"18-Sep-2018",5.6,0
"19-Sep-2018",7,0
"20-Sep-2018",9.7,0.01
"21-Sep-2018",3.6,22.46
"22-Sep-2018",5.8,11.47
"23-Sep-2018",5.6,0
"24-Sep-2018",6.8,0
"25-Sep-2018",3,0
"26-Sep-2018",4.7,0
"27-Sep-2018",6.4,0
"28-Sep-2018",5.1,0
"29-Sep-2018",6.3,0
"30-Sep-2018",5.4,0
"01-Oct-2018",4.3,0
"02-Oct-2018",6.3,0
"03-Oct-2018",4.9,0
"04-Oct-2018",3.8,0
"05-Oct-2018",4.5,0
"06-Oct-2018",2.4,0
"07-Oct-2018",2.7,0
"08-Oct-2018",1.5,0
"09-Oct-2018",2.6,0.03
"10-Oct-2018",3.1,0
"11-Oct-2018",2.7,0
"12-Oct-2018",0.6,18.39
"13-Oct-2018",0.9,0
"14-Oct-2018",1.2,0
"15-Oct-2018",0.8,0
"16-Oct-2018",0.8,0
"17-Oct-2018",2.4,0
"18-Oct-2018",2.2,0
"19-Oct-2018",1.2,0
"20-Oct-2018",1.7,0
"21-Oct-2018",1.9,0
"22-Oct-2018",0.5,0
"23-Oct-2018",2.1,0
"24-Oct-2018",0.4,0
"25-Oct-2018",0.2,0
"26-Oct-2018",0,0
"27-Oct-2018",0.1,0
"28-Oct-2018",0.1,0
"29-Oct-2018",0.5,0
"30-Oct-2018",0.7,0
"31-Oct-2018",0.7,0
"01-Nov-2018",1.2,0
"02-Nov-2018",0.2,0
"03-Nov-2018",0,0
"04-Nov-2018",0.3,0
"05-Nov-2018",0.3,0
"06-Nov-2018",0,0
"07-Nov-2018",0,0
"08-Nov-2018",0,0
"09-Nov-2018",0,0
"10-Nov-2018",0.9,0
"11-Nov-2018",0.3,0
"12-Nov-2018",0,0
"13-Nov-2018",0,0
"14-Nov-2018",0.1,0
"15-Nov-2018",0.1,0
"16-Nov-2018",0.1,0
"17-Nov-2018",0,0
"18-Nov-2018",0.1,0
"19-Nov-2018",0.3,0
"20-Nov-2018",0.2,0
"21-Nov-2018",0.3,0
"22-Nov-2018",0,0
"23-Nov-2018",0,0
"24-Nov-2018",0,0
"25-Nov-2018",0,0
"26-Nov-2018",0.1,0
"27-Nov-2018",0,0
"28-Nov-2018",0,0
"29-Nov-2018",0.1,0
"30-Nov-2018",0,0
"01-Dec-2018",0.1,0
"02-Dec-2018",0.3,0
"03-Dec-2018",0,0
"04-Dec-2018",0,0
"05-Dec-2018",0,0
"06-Dec-2018",0,0
"07-Dec-2018",0,0
"08-Dec-2018",0,0
"09-Dec-2018",0,0
"10-Dec-2018",0,0
"11-Dec-2018",0,0
"12-Dec-2018",0.3,0
"13-Dec-2018",0,0
"14-Dec-2018",0,0
"15-Dec-2018",0,0
"16-Dec-2018",0,0
"17-Dec-2018",0,0
"18-Dec-2018",0.2,4.36
"19-Dec-2018",0.4,2.07
"20-Dec-2018",0,0
"21-Dec-2018",0.1,0
"22-Dec-2018",0,0
"23-Dec-2018",0,0
"24-Dec-2018",0.1,0
"25-Dec-2018",0.1,0
"26-Dec-2018",0.1,0
"27-Dec-2018",0.3,0
"28-Dec-2018",0.1,0
"29-Dec-2018",0.2,0
"30-Dec-2018",0.1,0
"31-Dec-2018",0.1,0
"01-Jan-2019",0.1,0
"02-Jan-2019",0.4,0
"03-Jan-2019",0.3,0
"04-Jan-2019",0.8,0
"05-Jan-2019",1,0
"06-Jan-2019",0.5,0
"07-Jan-2019",0.2,0
"08-Jan-2019",0.2,0
"09-Jan-2019",0.4,0
"10-Jan-2019",0.6,0
"11-Jan-2019",0.5,0
"12-Jan-2019",0.2,0
"13-Jan-2019",0.3,0
"14-Jan-2019",0.1,0
"15-Jan-2019",1,0
"16-Jan-2019",0.4,0
"17-Jan-2019",0.3,0
"18-Jan-2019",0.3,0
"19-Jan-2019",0,0
"20-Jan-2019",0.7,0
"21-Jan-2019",0.5,0
"22-Jan-2019",0.5,0
"23-Jan-2019",0.4,0
"24-Jan-2019",0.5,6.75
"25-Jan-2019",0.9,1.52
"26-Jan-2019",0.4,0
"27-Jan-2019",0.8,0.3
"28-Jan-2019",0.9,0
"29-Jan-2019",1.6,0
"30-Jan-2019",0.9,0
"31-Jan-2019",0.5,0
"01-Feb-2019",0.5,0
"02-Feb-2019",0.2,0
"03-Feb-2019",0.2,0
"04-Feb-2019",0.3,0
"05-Feb-2019",0.5,0
"06-Feb-2019",1.8,0
"07-Feb-2019",0.2,0
"08-Feb-2019",0.6,0.16
"09-Feb-2019",0.3,8.56
"10-Feb-2019",0.1,0.56
"11-Feb-2019",0.3,0
"12-Feb-2019",0.2,0
"13-Feb-2019",0.2,0
"14-Feb-2019",0.6,0
"15-Feb-2019",0.1,0
"16-Feb-2019",0.2,0.32
"17-Feb-2019",0.6,0
"18-Feb-2019",1.4,0
"19-Feb-2019",0.9,0
"20-Feb-2019",0.9,0
"21-Feb-2019",0.6,0
"22-Feb-2019",0.3,0
"23-Feb-2019",0,0
"24-Feb-2019",0.3,0
"25-Feb-2019",0.3,0
"26-Feb-2019",0.3,0.07
"27-Feb-2019",0,10.92
"28-Feb-2019",0.3,4.45
"01-Mar-2019",0.4,0
"02-Mar-2019",1.5,0
"03-Mar-2019",0.1,0
"04-Mar-2019",0,0.88
"05-Mar-2019",0.4,0
"06-Mar-2019",0.4,0
"07-Mar-2019",0.7,0
"08-Mar-2019",0,0
"09-Mar-2019",0.2,0
"10-Mar-2019",0,0
"11-Mar-2019",0.3,0
"12-Mar-2019",0.5,0
"13-Mar-2019",0.3,0
"14-Mar-2019",0.1,0
"15-Mar-2019",0.1,0
"16-Mar-2019",0,0
"17-Mar-2019",0,0
"18-Mar-2019",0.2,0
"19-Mar-2019",0.1,0
"20-Mar-2019",0.4,0
"21-Mar-2019",0.3,0
"22-Mar-2019",0.9,0.01
"23-Mar-2019",0.1,0
"24-Mar-2019",0.7,0
"25-Mar-2019",1.1,0
"26-Mar-2019",0.1,0.77
"27-Mar-2019",0.4,0.76
"28-Mar-2019",0.1,0
"29-Mar-2019",0,0
"30-Mar-2019",0.2,0
"31-Mar-2019",0.7,0
"01-Apr-2019",0,0
"02-Apr-2019",0.1,0
"03-Apr-2019",0.3,0
"04-Apr-2019",0.1,0
"05-Apr-2019",0,0
"06-Apr-2019",0,0
"07-Apr-2019",0.1,3.19
"08-Apr-2019",0.1,0
"09-Apr-2019",0.1,0
"10-Apr-2019",0.2,0.19
"11-Apr-2019",0.1,0
"12-Apr-2019",0.1,0
"13-Apr-2019",0,0
"14-Apr-2019",0.6,0
"15-Apr-2019",0.3,0
"16-Apr-2019",0.3,0
"17-Apr-2019",0.4,18.87
"18-Apr-2019",0.5,0.07
"19-Apr-2019",0.5,0
"20-Apr-2019",0.2,0.14
"21-Apr-2019",0.3,0
"22-Apr-2019",0.3,0
"23-Apr-2019",0.1,0
"24-Apr-2019",0.2,0
"25-Apr-2019",0,0
"26-Apr-2019",0.1,0.23
"27-Apr-2019",0.6,0
"28-Apr-2019",0.9,0
"29-Apr-2019",0.6,0.21
"30-Apr-2019",0.4,0
"01-May-2019",1.3,0
"02-May-2019",2.1,0.13
"03-May-2019",0.8,3.78
"04-May-2019",0.4,3.27
"05-May-2019",0.4,0
"06-May-2019",0.8,0
"07-May-2019",0.7,0
"08-May-2019",0.5,0
"09-May-2019",0.4,0
"10-May-2019",0.2,0
"11-May-2019",1.3,0
"12-May-2019",1.6,0
"13-May-2019",0.7,1.02
"14-May-2019",1.2,2.47
"15-May-2019",0.6,1.03
"16-May-2019",1.4,0.09
"17-May-2019",0.5,0.47
"18-May-2019",0.3,0
"19-May-2019",1.1,0
"20-May-2019",0.5,0
"21-May-2019",0.5,0.04
"22-May-2019",1.5,0
"23-May-2019",0.9,1.31
"24-May-2019",0.9,0
"25-May-2019",0.2,0
"26-May-2019",1.3,0
"27-May-2019",1.2,0
"28-May-2019",1,2.3
"29-May-2019",0.6,0
"30-May-2019",0.3,0
"31-May-2019",0.8,11.11
"01-Jun-2019",2.4,0.04
"02-Jun-2019",0.7,7.47
"03-Jun-2019",1.9,0.26
"04-Jun-2019",2.2,0
"05-Jun-2019",1.8,0
"06-Jun-2019",2.8,0
"07-Jun-2019",2.2,0
"08-Jun-2019",2.7,1
"09-Jun-2019",3.3,0
"10-Jun-2019",2.7,2.63
"11-Jun-2019",3.4,2.95
"12-Jun-2019",4.3,0
"13-Jun-2019",4.3,3.86
"14-Jun-2019",3,0
"15-Jun-2019",3.6,1.68
"16-Jun-2019",3.8,0.23
"17-Jun-2019",2.9,1
"18-Jun-2019",5.4,2.01
"19-Jun-2019",4.5,0.14
"20-Jun-2019",5.3,0.41
"21-Jun-2019",5.2,2.99
"22-Jun-2019",4.9,6.55
"23-Jun-2019",9.8,6.17
"24-Jun-2019",5.4,0
"25-Jun-2019",4.3,0.02
"26-Jun-2019",7.3,0.75
"27-Jun-2019",8.3,3.82
"28-Jun-2019",5.3,3.14
"29-Jun-2019",8,1.22
"30-Jun-2019",9.5,0.11
"01-Jul-2019",11.3,10.58
"02-Jul-2019",8.7,25.95
"03-Jul-2019",8.5,0.89
"04-Jul-2019",8.5,2.01
"05-Jul-2019",8.1,2.91
"06-Jul-2019",6.7,1.23
"07-Jul-2019",10.8,7.33
"08-Jul-2019",12.6,16.62
"09-Jul-2019",10.3,35.28
"10-Jul-2019",10.1,35.76
"11-Jul-2019",8.4,12.42
"12-Jul-2019",7,11.2
"13-Jul-2019",11.8,12.09
"14-Jul-2019",11.5,12.57
"15-Jul-2019",9.9,3.79
"16-Jul-2019",14.1,2.8
"17-Jul-2019",11.9,0.36
"18-Jul-2019",8.3,0.49
"19-Jul-2019",11.1,1.66
"20-Jul-2019",10.8,0.1
"21-Jul-2019",10.8,1.9
"22-Jul-2019",7.5,0.79
"23-Jul-2019",5.2,2.25
"24-Jul-2019",7.8,24.66
"25-Jul-2019",10.6,9.11
"26-Jul-2019",8.5,0.11
"27-Jul-2019",7.9,40.41
"28-Jul-2019",7.7,20.61
"29-Jul-2019",17.5,2.23
"30-Jul-2019",11.2,1.98
"31-Jul-2019",5.8,0.36
"01-Aug-2019",8.4,0.12
"02-Aug-2019",8.5,4.72
"03-Aug-2019",8,2.99
"04-Aug-2019",11,4.58
"05-Aug-2019",9.5,3.72
"06-Aug-2019",8.6,6.78
"07-Aug-2019",8.6,16.21
"08-Aug-2019",7.5,0.19
"09-Aug-2019",7.3,5.7
"10-Aug-2019",11.2,1.55
"11-Aug-2019",4.9,1.44
"12-Aug-2019",11.5,6.97
"13-Aug-2019",7.2,3.12
"14-Aug-2019",10,10.29
"15-Aug-2019",8.2,3.71
"16-Aug-2019",8.1,3.84
"17-Aug-2019",8.1,2.36
"18-Aug-2019",10.1,1.13
"19-Aug-2019",8.2,18.13
"20-Aug-2019",5.7,0.94
"21-Aug-2019",8.9,0
"22-Aug-2019",10.5,0.65
"23-Aug-2019",11.8,1.14
"24-Aug-2019",8.2,20.25
"25-Aug-2019",7.2,6.76
"26-Aug-2019",9.8,1.84
"27-Aug-2019",8.5,1.13
"28-Aug-2019",7.7,0
"29-Aug-2019",5.7,0.03
"30-Aug-2019",8.2,0.15
"31-Aug-2019",6.8,0
"01-Sep-2019",7.1,0.22
"02-Sep-2019",5.5,0.2
"03-Sep-2019",4.4,9.67
"04-Sep-2019",7.1,7.75
"05-Sep-2019",7.6,2.23
"06-Sep-2019",4.9,0.02
"07-Sep-2019",4.8,0.03
"08-Sep-2019",8,0.89
"09-Sep-2019",8.3,0.85
"10-Sep-2019",9,0.44
"11-Sep-2019",10.8,3.06
"12-Sep-2019",10.1,14.3
"13-Sep-2019",9.3,9.17
"14-Sep-2019",7.1,4.85
"15-Sep-2019",7.6,8.84
"16-Sep-2019",6.9,0.32
"17-Sep-2019",9.8,5.23
"18-Sep-2019",5.6,27.16
"19-Sep-2019",7,0.02
"20-Sep-2019",9.7,0.39
"21-Sep-2019",3.6,0.19
"22-Sep-2019",5.8,23.13
"23-Sep-2019",5.6,3.87
"24-Sep-2019",6.8,2.04
"25-Sep-2019",3,2.7
"26-Sep-2019",4.7,11.52
"27-Sep-2019",6.4,21.56
"28-Sep-2019",5.1,48.34
"29-Sep-2019",6.3,59.58
"30-Sep-2019",5.4,45.05
"01-Oct-2019",4.3,3.18
"02-Oct-2019",6.3,0
"03-Oct-2019",4.9,0
"04-Oct-2019",3.8,5.6
"05-Oct-2019",4.5,1.63
"06-Oct-2019",2.4,0.13
"07-Oct-2019",2.7,0.03
"08-Oct-2019",1.5,0.89
"09-Oct-2019",2.6,8.77
"10-Oct-2019",3.1,1.1
"11-Oct-2019",2.7,0.11
"12-Oct-2019",0.6,0
"13-Oct-2019",0.9,0
"14-Oct-2019",1.2,0
"15-Oct-2019",0.8,0
"16-Oct-2019",0.8,0
"17-Oct-2019",2.4,0
"18-Oct-2019",2.2,0
"19-Oct-2019",1.2,0.02
"20-Oct-2019",1.7,1.48
"21-Oct-2019",1.9,0.03
"22-Oct-2019",0.5,0
"23-Oct-2019",2.1,0
"24-Oct-2019",0.4,0.02
"25-Oct-2019",0.2,1.1
"26-Oct-2019",0,1.18
"27-Oct-2019",0.1,0
"28-Oct-2019",0.1,0
"29-Oct-2019",0.5,0
"30-Oct-2019",0.7,0
"31-Oct-2019",0.7,0
"01-Nov-2019",1.2,0
"02-Nov-2019",0.2,0
"03-Nov-2019",0,0
"04-Nov-2019",0.3,0
"05-Nov-2019",0.3,1.63
"06-Nov-2019",0,0
"07-Nov-2019",0,0
"08-Nov-2019",0,0
"09-Nov-2019",0,0
"10-Nov-2019",0.9,0
"11-Nov-2019",0.3,0
"12-Nov-2019",0,0
"13-Nov-2019",0,0
"14-Nov-2019",0.1,0
"15-Nov-2019",0.1,0
"16-Nov-2019",0.1,0
"17-Nov-2019",0,0
"18-Nov-2019",0.1,0
"19-Nov-2019",0.3,0
"20-Nov-2019",0.2,0
"21-Nov-2019",0.3,0
"22-Nov-2019",0,0
"23-Nov-2019",0,0
"24-Nov-2019",0,0
"25-Nov-2019",0,0
"26-Nov-2019",0.1,0
"27-Nov-2019",0,0
"28-Nov-2019",0,0
"29-Nov-2019",0.1,0
"30-Nov-2019",0,0
"01-Dec-2019",0.1,0
"02-Dec-2019",0.3,0
"03-Dec-2019",0,0
"04-Dec-2019",0,0
"05-Dec-2019",0,0
"06-Dec-2019",0,0
"07-Dec-2019",0,0
"08-Dec-2019",0,0
"09-Dec-2019",0,0
"10-Dec-2019",0,0
"11-Dec-2019",0,0
"12-Dec-2019",0.3,0
"13-Dec-2019",0,6.57
"14-Dec-2019",0,4.88
"15-Dec-2019",0,0
"16-Dec-2019",0,1.2
"17-Dec-2019",0,0
"18-Dec-2019",0.2,0
"19-Dec-2019",0.4,0
"20-Dec-2019",0,0
"21-Dec-2019",0.1,0
"22-Dec-2019",0,0
"23-Dec-2019",0,0
"24-Dec-2019",0.1,0
"25-Dec-2019",0.1,0
"26-Dec-2019",0.1,0.01
"27-Dec-2019",0.3,0
"28-Dec-2019",0.1,0
"29-Dec-2019",0.2,0
"30-Dec-2019",0.1,0
"31-Dec-2019",0.1,0
"01-Jan-2020",0.1,0
"02-Jan-2020",0.4,0.4
"03-Jan-2020",0.3,0.41
"04-Jan-2020",0.8,0.06
"05-Jan-2020",1,0
"06-Jan-2020",0.5,0
"07-Jan-2020",0.2,0
"08-Jan-2020",0.2,0
"09-Jan-2020",0.4,3.08
"10-Jan-2020",0.6,0
"11-Jan-2020",0.5,0
"12-Jan-2020",0.2,0
"13-Jan-2020",0.3,0
"14-Jan-2020",0.1,0
"15-Jan-2020",1,0
"16-Jan-2020",0.4,0
"17-Jan-2020",0.3,0
"18-Jan-2020",0.3,0.16
"19-Jan-2020",0,0
"20-Jan-2020",0.7,0.02
"21-Jan-2020",0.5,0
"22-Jan-2020",0.5,0
"23-Jan-2020",0.4,0
"24-Jan-2020",0.5,0
"25-Jan-2020",0.9,0
"26-Jan-2020",0.4,0
"27-Jan-2020",0.8,0
"28-Jan-2020",0.9,0
"29-Jan-2020",1.6,4.88
"30-Jan-2020",0.9,0
"31-Jan-2020",0.5,0
"01-Feb-2020",0.5,0
"02-Feb-2020",0.2,0
"03-Feb-2020",0.2,0
"04-Feb-2020",0.3,0
"05-Feb-2020",0.5,0
"06-Feb-2020",1.8,0
"07-Feb-2020",0.2,0
"08-Feb-2020",0.6,0
"09-Feb-2020",0.3,0
"10-Feb-2020",0.1,0
"11-Feb-2020",0.3,0
"12-Feb-2020",0.2,0
"13-Feb-2020",0.2,0
"14-Feb-2020",0.6,0
"15-Feb-2020",0.1,0
"16-Feb-2020",0.2,0
"17-Feb-2020",0.6,0
"18-Feb-2020",1.4,0
"19-Feb-2020",0.9,0
"20-Feb-2020",0.9,0
"21-Feb-2020",0.6,0
"22-Feb-2020",0.3,1.61
"23-Feb-2020",0,0.83
"24-Feb-2020",0.3,5.05
"25-Feb-2020",0.3,0
"26-Feb-2020",0.3,7.43
"27-Feb-2020",0,0.57
"28-Feb-2020",0.3,0
"29-Feb-2020",0,0
"01-Mar-2020",0.4,0
"02-Mar-2020",1.5,0
"03-Mar-2020",0.1,0
"04-Mar-2020",0,1.46
"05-Mar-2020",0.4,0
"06-Mar-2020",0.4,0.49
"07-Mar-2020",0.7,4.39
"08-Mar-2020",0,0.19
"09-Mar-2020",0.2,0
"10-Mar-2020",0,0
"11-Mar-2020",0.3,0
"12-Mar-2020",0.5,0
"13-Mar-2020",0.3,0
"14-Mar-2020",0.1,28.42
"15-Mar-2020",0.1,17.46
"16-Mar-2020",0,0
"17-Mar-2020",0,0
"18-Mar-2020",0.2,0
"19-Mar-2020",0.1,0
"20-Mar-2020",0.4,0
"21-Mar-2020",0.3,0
"22-Mar-2020",0.9,0.63
"23-Mar-2020",0.1,1.03
"24-Mar-2020",0.7,0
"25-Mar-2020",1.1,0
"26-Mar-2020",0.1,0
"27-Mar-2020",0.4,0
"28-Mar-2020",0.1,0
"29-Mar-2020",0,0
"30-Mar-2020",0.2,0
"31-Mar-2020",0.7,0
"01-Apr-2020",0,0
"02-Apr-2020",0.1,0
"03-Apr-2020",0.3,0
"04-Apr-2020",0.1,0
"05-Apr-2020",0,0
"06-Apr-2020",0,0
"07-Apr-2020",0.1,0
"08-Apr-2020",0.1,0
"09-Apr-2020",0.1,0
"10-Apr-2020",0.2,0
"11-Apr-2020",0.1,0
"12-Apr-2020",0.1,0
"13-Apr-2020",0,0
"14-Apr-2020",0.6,0
"15-Apr-2020",0.3,0.88
"16-Apr-2020",0.3,0
"17-Apr-2020",0.4,0
"18-Apr-2020",0.5,0
"19-Apr-2020",0.5,0
"20-Apr-2020",0.2,3.52
"21-Apr-2020",0.3,1.11
"22-Apr-2020",0.3,0.38
"23-Apr-2020",0.1,1.1
"24-Apr-2020",0.2,2.12
"25-Apr-2020",0,0.01
"26-Apr-2020",0.1,0
"27-Apr-2020",0.6,6.36
"28-Apr-2020",0.9,15.46
"29-Apr-2020",0.6,0.58
"30-Apr-2020",0.4,0.14
"01-May-2020",1.3,0
"02-May-2020",2.1,13.81
"03-May-2020",0.8,0
"04-May-2020",0.4,0
"05-May-2020",0.4,0.72
"06-May-2020",0.8,22.38
"07-May-2020",0.7,0
"08-May-2020",0.5,3.94
"09-May-2020",0.4,0
"13-May-2020",0.7,0
"14-May-2020",1.2,1.79
"15-May-2020",0.6,1.67
"16-May-2020",1.4,0.41
"17-May-2020",0.5,0
"18-May-2020",0.3,0
"19-May-2020",1.1,0
"20-May-2020",0.5,0.32
"21-May-2020",0.5,6.43
"22-May-2020",1.5,0.8
"23-May-2020",0.9,0.07
"24-May-2020",0.9,0
"25-May-2020",0.2,0
"26-May-2020",1.3,0.37
"27-May-2020",1.2,5.71
"28-May-2020",1,0.1
"29-May-2020",0.6,0
"30-May-2020",0.3,0
"31-May-2020",0.8,7.24
"01-Jun-2020",2.4,0.42
"02-Jun-2020",0.7,0.63
"03-Jun-2020",1.9,0
"04-Jun-2020",2.2,0.03
"05-Jun-2020",1.8,2.54
"06-Jun-2020",2.8,31.15
"07-Jun-2020",2.2,0.3
"08-Jun-2020",2.7,0
"09-Jun-2020",3.3,5.84
"10-Jun-2020",2.7,0.21
"11-Jun-2020",3.4,0
"12-Jun-2020",4.3,0.35
"13-Jun-2020",4.3,1.02
"14-Jun-2020",3,5.61
"15-Jun-2020",3.6,16.68
"16-Jun-2020",3.8,23.64
"17-Jun-2020",2.9,8.64
"18-Jun-2020",5.4,5.59
"19-Jun-2020",4.5,38.89
"20-Jun-2020",5.3,9.07
"21-Jun-2020",5.2,5.06
"22-Jun-2020",4.9,1.7
"23-Jun-2020",9.8,6.7
"24-Jun-2020",5.4,1.8
"25-Jun-2020",4.3,0.67
"26-Jun-2020",7.3,27.34
"27-Jun-2020",8.3,17.51
"28-Jun-2020",5.3,18.25
"29-Jun-2020",8,9.26
"30-Jun-2020",9.5,4.16
"01-Jul-2020",11.3,4.16
"02-Jul-2020",8.7,0.33
"03-Jul-2020",8.5,4.97
"04-Jul-2020",8.5,10.09
"05-Jul-2020",8.1,12.22
"06-Jul-2020",6.7,0.92
"07-Jul-2020",10.8,12.69
"08-Jul-2020",12.6,7.64
"09-Jul-2020",10.3,3.28
"10-Jul-2020",10.1,6.29
"11-Jul-2020",8.4,23.8
"12-Jul-2020",7,4.68
"13-Jul-2020",11.8,16.6
"29-Jul-2020",17.5,2.51
"30-Jul-2020",11.2,5.79
"31-Jul-2020",5.8,6.03
"01-Aug-2020",8.4,23.03
"02-Aug-2020",8.5,4.15
"03-Aug-2020",8,0.26
"04-Aug-2020",11,0.13
"05-Aug-2020",9.5,11.88
"06-Aug-2020",8.6,0.86
"07-Aug-2020",8.6,1.64
"08-Aug-2020",7.5,12.61
"09-Aug-2020",7.3,7.12
"10-Aug-2020",11.2,2.57
"11-Aug-2020",4.9,2.78
"12-Aug-2020",11.5,32.35
"13-Aug-2020",7.2,21.68
"14-Aug-2020",10,1.42
"15-Aug-2020",8.2,0.11
"16-Aug-2020",8.1,1.07
"17-Aug-2020",8.1,4.3
"18-Aug-2020",10.1,0.45
"19-Aug-2020",8.2,0.02
"20-Aug-2020",5.7,0.03
"21-Aug-2020",8.9,2.34
"22-Aug-2020",10.5,5.72
"23-Aug-2020",11.8,5.87
"24-Aug-2020",8.2,4.1
"25-Aug-2020",7.2,0.23
"26-Aug-2020",9.8,12.99
"27-Aug-2020",8.5,8.16
"28-Aug-2020",7.7,0.59
"29-Aug-2020",5.7,0.71
"30-Aug-2020",8.2,0
"31-Aug-2020",6.8,0.22
"01-Sep-2020",7.1,0.15
"02-Sep-2020",5.5,38.22
"03-Sep-2020",4.4,0.01
"04-Sep-2020",7.1,0
"05-Sep-2020",7.6,0
"06-Sep-2020",4.9,1.21
"07-Sep-2020",4.8,2.39
"08-Sep-2020",8,7.95
"09-Sep-2020",8.3,2.86
"10-Sep-2020",9,6.49
"11-Sep-2020",10.8,4.39
"12-Sep-2020",10.1,8.52
"13-Sep-2020",9.3,0.29
"14-Sep-2020",7.1,6.06
"15-Sep-2020",7.6,5.45
"16-Sep-2020",6.9,22.75
"17-Sep-2020",9.8,0.35
"18-Sep-2020",5.6,0.84
"19-Sep-2020",7,1.17
"20-Sep-2020",9.7,0
"21-Sep-2020",3.6,22.21
"22-Sep-2020",5.8,38.69
"23-Sep-2020",5.6,38.38
"24-Sep-2020",6.8,19.32
"25-Sep-2020",3,43.97
"26-Sep-2020",4.7,30.87
"27-Sep-2020",6.4,6.62
"28-Sep-2020",5.1,0
"29-Sep-2020",6.3,0
"30-Sep-2020",5.4,0
"01-Oct-2020",4.3,0.21
"02-Oct-2020",6.3,8.97
"03-Oct-2020",4.9,0.04
"04-Oct-2020",3.8,7.48
"05-Oct-2020",4.5,3.22
"06-Oct-2020",2.4,13.81
"07-Oct-2020",2.7,2.67
"08-Oct-2020",1.5,0.06
"09-Oct-2020",2.6,0.16
"10-Oct-2020",3.1,0.01
"11-Oct-2020",2.7,0
"12-Oct-2020",0.6,0
"13-Oct-2020",0.9,0
"14-Oct-2020",1.2,0
"15-Oct-2020",0.8,0
"16-Oct-2020",0.8,0
"17-Oct-2020",2.4,0
"18-Oct-2020",2.2,0
"19-Oct-2020",1.2,0
"20-Oct-2020",1.7,0
"21-Oct-2020",1.9,0
"22-Oct-2020",0.5,0
"23-Oct-2020",2.1,0
"24-Oct-2020",0.4,0
"25-Oct-2020",0.2,0
"26-Oct-2020",0,0
"27-Oct-2020",0.1,0
"28-Oct-2020",0.1,0
"29-Oct-2020",0.5,0
"30-Oct-2020",0.7,0
"31-Oct-2020",0.7,0
"01-Nov-2020",1.2,0
"02-Nov-2020",0.2,0
"03-Nov-2020",0,0
"04-Nov-2020",0.3,0
"05-Nov-2020",0.3,0
"06-Nov-2020",0,0
"07-Nov-2020",0,0
"08-Nov-2020",0,0
"09-Nov-2020",0,0
"10-Nov-2020",0.9,0
"11-Nov-2020",0.3,0
"12-Nov-2020",0,0
"13-Nov-2020",0,0
"14-Nov-2020",0.1,0
"15-Nov-2020",0.1,0
"16-Nov-2020",0.1,0
"17-Nov-2020",0,0
"18-Nov-2020",0.1,0
"19-Nov-2020",0.3,0
"20-Nov-2020",0.2,0.09
"21-Nov-2020",0.3,0
"22-Nov-2020",0,0
"23-Nov-2020",0,0
"24-Nov-2020",0,0
"25-Nov-2020",0,0
"26-Nov-2020",0.1,0
"27-Nov-2020",0,1.03
"28-Nov-2020",0,0
"29-Nov-2020",0.1,0
"30-Nov-2020",0,0
"01-Dec-2020",0.1,0
"02-Dec-2020",0.3,0
"03-Dec-2020",0,0
"04-Dec-2020",0,0
"05-Dec-2020",0,0
"06-Dec-2020",0,0
